#  #1,  #2,  #3,  #4 
0.00,-0.49,-0.49,0.00
0.00,0.72,-0.55,-0.49
0.00,-0.36,10.03,-0.49
0.00,-0.36,5.20,0.00
0.00,-0.49,-0.58,0.00
0.00,0.00,-0.49,-0.49
-0.49,-0.59,-0.49,0.00
-0.49,4.42,-0.49,-0.49
-0.36,35.50,1.49,-0.39
-0.36,-0.39,77.09,0.00
-0.36,-0.20,-0.20,2.98
-0.49,0.00,-0.59,0.00
-0.49,17.58,-0.59,0.00
-0.69,45.97,-0.49,-0.36
-0.20,90.90,-0.36,-0.20
151.26,20.90,20.00,45.04
-0.20,-0.20,-0.20,5.63
-0.49,0.00,-0.59,-0.20
1.27,-0.49,0.00,0.00
-0.42,-0.36,0.00,-0.49
-0.20,-0.36,0.00,-0.36
23.59,-0.20,0.00,-0.20
-0.36,-0.49,0.00,-0.20
-0.49,0.00,0.00,-0.59
