#  #1,  #2,  #3,  #4 
0.00,-0.36,0.78,0.00
0.00,-0.74,-0.97,-0.49
0.00,-0.49,33.57,-0.86
0.00,22.67,130.71,6.72
0.00,4.61,3.97,86.18
0.00,0.00,-0.86,34.00
-0.49,-0.58,17.03,0.00
-0.59,-0.61,22.52,-0.49
-0.49,15.44,85.56,-0.52
25.63,16.94,198.27,10.30
21.08,-0.31,-0.49,146.85
3.46,0.00,1.86,56.20
-0.49,79.13,-0.10,0.00
-0.41,157.12,12.31,20.74
25.66,201.60,0.00,68.64
255.83,106.62,22.66,106.96
-0.20,-0.36,-0.20,37.00
19.99,0.00,-0.83,0.00
5.25,0.00,0.00,0.00
115.32,-0.20,0.00,0.64
18.36,0.00,0.00,0.00
53.86,0.30,0.00,0.00
-0.36,-0.59,0.00,4.98
-0.59,0.00,0.00,-0.45
