#  #1,  #2,  #3,  #4 
0.00,-0.36,-0.49,0.00
0.00,-0.74,-0.97,-0.36
0.00,-0.49,18.72,-0.86
0.00,-0.94,7.37,-0.91
0.00,-0.89,-0.54,-0.89
0.00,0.00,-0.83,-0.83
-0.49,-0.58,-0.20,0.00
-0.49,-0.61,0.31,-0.49
-0.49,4.37,46.86,-0.52
-0.36,-0.39,45.13,3.75
-0.36,-0.36,-0.36,1.47
-0.74,0.00,-0.83,-0.39
-0.20,4.92,0.00,0.00
-0.23,30.30,-0.20,0.00
-0.20,89.99,0.00,0.00
126.81,20.00,0.00,60.87
-0.20,-0.36,-0.20,0.00
-0.74,0.00,-0.79,0.00
0.00,0.00,0.00,0.00
0.58,0.00,0.00,0.00
0.00,0.00,0.00,0.00
16.62,0.00,0.00,0.00
-0.36,-0.59,0.00,0.86
-0.59,0.00,0.00,-0.49
